eleccion,odpe,nombre_odpe,mesas_procesadas,mesas_contabilizadas,mesas_al_jee,electores_procesados,electores_contabilizados,electores_al_jee,mesas_totales,electores_totales,departameto,pct_mesas,pct_mesas_contabilizadas,pct_mesas_al_jee,pct_electores,pct_electores_contabilizados,electores_por_contabilizar,pct_electores_por_contabilizar
Presidencial segunda vuelta,SANTA ANITA,SANTA ANITA,630,610,20,188098,182135,5963,630,188098,LIMA,1,0.9682539682539683,0.031746031746031744,1,0.9682984401748025,5963,0.031701559825197505
Presidencial segunda vuelta,VILLA EL SALVADOR,VILLA EL SALVADOR,1163,1137,26,347445,339671,7774,1163,347445,LIMA,1,0.9776440240756664,0.02235597592433362,1,0.9776252356488078,7774,0.022374764351192275
Presidencial segunda vuelta,YAUYOS,YAUYOS,114,114,0,27608,27608,0,114,27608,LIMA,1,1,0,1,1,0,0
Presidencial segunda vuelta,ALTO AMAZONAS,ALTO AMAZONAS,495,490,5,140720,139229,1491,561,157579,LORETO,0.8823529411764706,0.8734402852049911,0.008912655971479501,0.8930123937834357,0.8835504730960344,18350,0.11644952690396564
Presidencial segunda vuelta,MARISCAL RAMON CASTILLA,MARISCAL RAMON CASTILLA,196,194,2,55569,54978,591,196,55569,LORETO,1,0.9897959183673469,0.01020408163265306,1,0.9893645737731469,591,0.010635426226853102
Presidencial segunda vuelta,MAYNAS,MAYNAS,1565,1542,23,457544,450870,6674,1565,457544,LORETO,1,0.9853035143769968,0.014696485623003195,1,0.9854134247198084,6674,0.014586575280191631
Presidencial segunda vuelta,REQUENA,REQUENA,182,180,2,51821,51260,561,191,54018,LORETO,0.9528795811518325,0.9424083769633508,0.010471204188481676,0.9593283720241401,0.9489429449442779,2758,0.05105705505572217
Presidencial segunda vuelta,UCAYALI,UCAYALI,184,183,1,51213,50913,300,184,51213,LORETO,1,0.9945652173913043,0.005434782608695652,1,0.9941421123542851,300,0.0058578876457149555
Presidencial segunda vuelta,TAMBOPATA,TAMBOPATA,507,502,5,147577,146182,1395,507,147577,MADRE DE DIOS,1,0.9901380670611439,0.009861932938856016,1,0.9905473075072674,1395,0.009452692492732607
Presidencial segunda vuelta,ILO,ILO,233,232,1,68078,67790,288,233,68078,MOQUEGUA,1,0.9957081545064378,0.004291845493562232,1,0.995769558447663,288,0.004230441552337025
Presidencial segunda vuelta,MARISCAL NIETO,MARISCAL NIETO,345,344,1,96550,96250,300,345,96550,MOQUEGUA,1,0.9971014492753624,0.002898550724637681,1,0.9968928016571724,300,0.0031071983428275505
Presidencial segunda vuelta,OXAPAMPA,OXAPAMPA,317,311,6,87455,85787,1668,317,87455,PASCO,1,0.9810725552050473,0.01892744479495268,1,0.9809273340575153,1668,0.019072665942484707
Presidencial segunda vuelta,PASCO,PASCO,485,477,8,136240,133938,2302,485,136240,PASCO,1,0.9835051546391752,0.016494845360824743,1,0.9831033470346447,2302,0.016896652965355256
Presidencial segunda vuelta,CASTILLA,CASTILLA,1296,1280,16,380067,375297,4770,1296,380067,PIURA,1,0.9876543209876543,0.012345679012345678,1,0.9874495812580414,4770,0.012550418741958655
Presidencial segunda vuelta,MORROPON,MORROPON,859,852,7,242865,240864,2001,859,242865,PIURA,1,0.9918509895227008,0.008149010477299184,1,0.9917608547958743,2001,0.008239145204125749
Presidencial segunda vuelta,PAITA,PAITA,568,561,7,164457,162421,2036,568,164457,PIURA,1,0.9876760563380281,0.01232394366197183,1,0.9876198641590203,2036,0.012380135840979708
Presidencial segunda vuelta,PIURA,PIURA,884,869,15,262363,257952,4411,884,262363,PIURA,1,0.9830316742081447,0.016968325791855202,1,0.9831874159084932,4411,0.016812584091506804
Presidencial segunda vuelta,SULLANA,SULLANA,1674,1662,12,484333,480763,3570,1674,484333,PIURA,1,0.992831541218638,0.007168458781362007,1,0.9926290382856423,3570,0.007370961714357684
Presidencial segunda vuelta,AZANGARO,AZANGARO,561,560,1,154592,154292,300,561,154592,PUNO,1,0.9982174688057041,0.0017825311942959,1,0.9980594079900642,300,0.0019405920099358311
Presidencial segunda vuelta,CHUCUITO,CHUCUITO,339,337,2,94504,94035,469,339,94504,PUNO,1,0.9941002949852508,0.0058997050147492625,1,0.9950372471006518,469,0.004962752899348176
Presidencial segunda vuelta,HUANCANE,HUANCANE,292,290,2,80683,80084,599,292,80683,PUNO,1,0.9931506849315068,0.00684931506849315,1,0.9925758833955108,599,0.007424116604489174
Presidencial segunda vuelta,PUNO,PUNO,829,820,9,237192,234587,2605,829,237192,PUNO,1,0.9891435464414958,0.010856453558504222,1,0.9890173361664811,2605,0.010982663833518837
Presidencial segunda vuelta,SAN ANTONIO DE PUTINA,SAN ANTONIO DE PUTINA,258,257,1,71585,71295,290,258,71585,PUNO,1,0.9961240310077519,0.003875968992248062,1,0.9959488719703848,290,0.004051128029615143
Presidencial segunda vuelta,SAN ROMAN,SAN ROMAN,1118,1109,9,324933,322243,2690,1118,324933,PUNO,1,0.9919499105545617,0.008050089445438283,1,0.9917213702517135,2690,0.008278629748286569
Presidencial segunda vuelta,MARISCAL CACERES,MARISCAL CACERES,683,677,6,194786,193130,1656,683,194786,SAN MARTIN,1,0.9912152269399708,0.008784773060029283,1,0.9914983623052992,1656,0.008501637694700852
Presidencial segunda vuelta,MOYOBAMBA,MOYOBAMBA,1028,1024,4,293734,292563,1171,1028,293734,SAN MARTIN,1,0.9961089494163424,0.0038910505836575876,1,0.9960133998788019,1171,0.0039866001211980905
Presidencial segunda vuelta,SAN MARTIN,SAN MARTIN,823,819,4,235085,233918,1167,823,235085,SAN MARTIN,1,0.9951397326852977,0.004860267314702308,1,0.9950358381011124,1167,0.004964161898887636
Presidencial segunda vuelta,TACNA,TACNA,1041,1028,13,302615,298756,3859,1041,302615,TACNA,1,0.9875120076849183,0.012487992315081652,1,0.9872478231416156,3859,0.012752176858384416
